timestamp,origem,cpu_milicores,memoria_mib
1783618043,runner,0,104
1783618058,runner,26,116
1783618073,runner,-70,129
1783618088,runner,-40,129
1783618103,runner,-23,130
1783618118,runner,-18,131
1783618133,runner,0,132
1783618148,runner,5,133
1783618163,runner,0,133
1783618178,runner,4,135
1783618193,runner,-34,135
1783618208,runner,2,136
1783618223,runner,3,134
1783618238,runner,0,134
1783618253,runner,-146,0
1783618253,runner,0,0
1783618268,runner,0,0
1783618283,runner,0,0
1783618298,runner,0,0
1783618313,runner,0,0
1783618328,runner,0,0
1783618343,runner,0,0
1783618358,runner,0,0
1783618373,runner,0,0
1783618388,runner,0,0
1783618403,runner,0,0
1783618418,runner,0,0
1783618433,runner,0,0
